name,url,price,availability,num_reviews,rating,category,img_url
"
                
    Procesor Intel Core i7-12700K, socket 1700, 12 C / 20 T, 3.60 GHz - 5.00 GHz, 25 MB cache, 125 W
            ",https://www.emag.ro/procesor-intel-core-i7-12700k-socket-1700-12-c-20-t-3-60-ghz-5-00-ghz-25-mb-cache-125-w-bx8071512700ksrl4n/pd/DKR9K6MBM/,1.820,True,,,Componente PC,https://s13emagst.akamaized.net/products/53817/53816783/images/res_22e5e8470e704f30279b834a59e9ba14.jpg
"
                
    Procesor Intel® Core™ i5-14500, pana la 5.0 GHz turbo, 24MB L3, Socket LGA1700, Intel® UHD Graphics 770
            ",https://www.emag.ro/procesor-intelr-coretm-i5-14500-pana-la-5-0-ghz-turbo-24mb-l3-socket-lga1700-intelr-uhd-graphics-770-bx8071514500/pd/DY6MCKYBM/,1.570,True,(2 review-uri),"
            5.00
            ",Componente PC,https://s13emagst.akamaized.net/products/65245/65244090/images/res_4e719489851b33b9e5cc637bd3069fb5.jpg
"
                
    Procesor Intel Core i9-14900KS, 24C / 32T, 3.20 - 6.20 GHz, 36 MB cache, 125 W, Box
            ",https://www.emag.ro/procesor-intel-core-i9-14900ks-24c-32t-3-20-6-20-ghz-36-mb-cache-125-w-box-bx8071514900kssrn7r/pd/D5F21PYBM/,4.585,True,,,Componente PC,https://s13emagst.akamaized.net/products/69031/69030082/images/res_e887f8c0a4963d31dc1510b2fc62b6c3.jpg
"
                
    Procesor Intel Core i5-8500 Tray, 4.1 GHz Turbo, Socket 1151, Fara Cooler
            ",https://www.emag.ro/procesor-intel-core-i5-8500-tray-4-1-ghz-turbo-socket-1151-fara-cooler-intelcore-i5-8500-tray/pd/DSPTFWMBM/,480,True,(1 review),"
            5.00
            ",Componente PC,https://s13emagst.akamaized.net/products/42729/42728882/images/res_4f0f0a3fe71b7dcdf704529a9ee179ce.jpg
"
                
    Procesor Intel® Core™ i5-11600KF Rocket Lake, 3.90 GHz, 12MB, fara grafica integrata, Socket 1200
            ",https://www.emag.ro/procesor-intelr-coretm-i5-11600kf-rocket-lake-3-90-ghz-12mb-fara-grafica-integrata-socket-1200-bx8070811600kf/pd/DJBT3KMBM/,791,True,(256 de review-uri),"
            4.90
            ",Componente PC,https://s13emagst.akamaized.net/products/36114/36113435/images/res_c51498e0f384ae8e68f9bf99704f35d8.jpg
"
                
    Procesor AMD Ryzen™ 5 3600, 4.2GHz, 36MB, socket AM4, Box, fara cooler
            ",https://www.emag.ro/procesor-amd-ryzentm-5-3600-4-2ghz-36mb-socket-am4-box-fara-cooler-100-100000031awof/pd/DW77Z4MBM/,459,True,(44 de review-uri),"
            4.86
            ",Componente PC,https://s13emagst.akamaized.net/products/46837/46836442/images/res_93e02115898aac60c5c6a80a11e5cc80.jpg
"
                
    Procesor Intel® Core™ i5-14400F, pana la 4.7 GHz turbo, 20MB L3, Socket LGA1700, fara video integrat
            ",https://www.emag.ro/procesor-intelr-coretm-i5-14400f-pana-la-4-7-ghz-turbo-20mb-l3-socket-lga1700-fara-video-integrat-bx8071514400f/pd/DD6MCKYBM/,1.252,True,(1 review),"
            4.00
            ",Componente PC,https://s13emagst.akamaized.net/products/65245/65244094/images/res_45d509a55f8ebfcb3169653a44538bf1.jpg
"
                
    Procesor AMD Ryzen 5 1600X, 3.6 GHz, 16MB, Socket AM4
            ",https://www.emag.ro/procesor-amd-ryzen-5-1600x-3-6-ghz-16mb-socket-am4-yd160xbcaewof/pd/D93Z57BBM/,995,True,(28 de review-uri),"
            5.00
            ",Componente PC,https://s13emagst.akamaized.net/products/5414/5413420/images/res_db5cb2d4cba9c1c0062c74aa9670963c.jpg
"
                
    Procesor Intel Rocket Lake Core i9-11900K, 8 Cores, 3.50 GHz (Up to 5.30Ghz), 16MB, 125 W, LGA1200, TRAY
            ",https://www.emag.ro/procesor-intel-rocket-lake-core-i9-11900k-8-cores-3-50-ghz-up-to-5-30ghz-16mb-125-w-lga1200-tray-intel-i9-11900k-tray/pd/DTXVDQMBM/,4.093,True,,,Componente PC,https://s13emagst.akamaized.net/products/36515/36514091/images/res_3515a711fcb7f0f8f39ec522ca6f5bc7.jpg
"
                
    Procesor Intel Celeron G5925, 3.6GHz, 4MB, 58W, LGA1200, BOX
            ",https://www.emag.ro/procesor-intel-celeron-g5925-3-6ghz-4mb-58w-lga1200-box-intel-g5925-box/pd/DXPRRDMBM/,421,True,,,Componente PC,https://s13emagst.akamaized.net/products/34940/34939462/images/res_faf2c3a8b3a8017196404653e00635fe.jpg
"
                
    Procesor Intel® Core™ i9-14900KF, pana la 6.0 GHz turbo, 36MB, Socket LGA1700, fara video integrat
            ",https://www.emag.ro/procesor-intelr-coretm-i9-14900kf-pana-la-6-0-ghz-turbo-36mb-socket-lga1700-fara-video-integrat-bx8071514900kf/pd/DJH937YBM/,3.395,True,(4 review-uri),"
            4.00
            ",Componente PC,https://s13emagst.akamaized.net/products/61980/61979091/images/res_8e32c6705d16600b33992f4af78a9de3.jpg
"
                
    Procesor Intel® Celeron® G6900 Alder Lake, 3.4GHz, 4MB, Socket 1700
            ",https://www.emag.ro/procesor-intelr-celeronr-g6900-alder-lake-3-4ghz-4mb-socket-1700-bx80715g6900/pd/DPQGTFMBM/,349,True,(2 review-uri),"
            4.50
            ",Componente PC,https://s13emagst.akamaized.net/products/42720/42719128/images/res_7b32ebe2867c54e993d298c6c4c0cb67.jpg
"
                
    Procesor Intel Alder Lake, Core i9 12900 2.4GHz editie tray
            ",https://www.emag.ro/procesor-intel-alder-lake-core-i9-12900-2-4ghz-editie-tray-cm8071504549317/pd/D2VM5XYBM/,2.249,True,,,Componente PC,https://s13emagst.akamaized.net/products/70041/70040164/images/res_4f65865249438ea68dac0cff9b1a5b04.png
"
                
    Procesor Intel Celeron G6900, 3.4GHz, 4MB, 46W, LGA1700, BOX
            ",https://www.emag.ro/procesor-intel-celeron-g6900-3-4ghz-4mb-46w-lga1700-box-intel-g6900-box/pd/DF225FMBM/,377,True,,,Componente PC,https://s13emagst.akamaized.net/products/43261/43260515/images/res_9611a2ebb27aaf0e57fe12400f229d99.jpg
"
                
    Procesor AMD Ryzen™ 9 7950X, 80MB, 4.5/5.7GHz Max Boost, Socket AM5, Radeon Graphics
            ",https://www.emag.ro/procesor-amd-ryzentm-9-7950x-80mb-4-5-5-7ghz-max-boost-socket-am5-radeon-graphics-100-100000514wof/pd/DV4RPLMBM/,3.416,True,(7 review-uri),"
            4.57
            ",Componente PC,https://s13emagst.akamaized.net/products/48406/48405216/images/res_00220d69fba0ae500ae9429158d2b535.jpg
"
                
    Procesor Intel Core i5-13600KF, socket 1700, 14 C / 20 T, 3.50 GHz - 5.10 GHz, 24 MB cache, 125 W BX8071513600KFSRMBE
            ",https://www.emag.ro/procesor-intel-core-i5-13600kf-socket-1700-14-c-20-t-3-50-ghz-5-10-ghz-24-mb-cache-125-w-bx8071513600kfsrmbe/pd/DL5MW6MBM/,1.922,True,,,Componente PC,https://s13emagst.akamaized.net/products/54460/54459736/images/res_87fc754295979281dfce7144f32cb2c8.jpg
"
                
    Procesor Intel Core i5-9500, 3.00GHz, 9MB, Socket 1151 - Chipset seria 300
            ",https://www.emag.ro/procesor-intel-core-i5-9500-3-00ghz-9mb-socket-1151-chipset-seria-300-bx80684i59500/pd/DY0DV5BBM/,2.098,True,(5 review-uri),"
            5.00
            ",Componente PC,https://s13emagst.akamaized.net/products/24545/24544146/images/res_415c11027bde9437bc88af18c01eef6c.jpg
"
                
    Procesor Intel Core i9-14900F, socket 1700, 24 C / 32 T, 2.00 GHz - 5.80 GHz, 36 MB cache, 65 W
            ",https://www.emag.ro/procesor-intel-core-i9-14900f-socket-1700-24-c-32-t-2-00-ghz-5-80-ghz-36-mb-cache-65-w-bx8071514900fsrn3w/pd/D8QM2NYBM/,3.551,True,,,Componente PC,https://s13emagst.akamaized.net/products/65691/65690888/images/res_48b3b1068a710b1ac9622fc6e16079d7.jpg
"
                
    Procesor Intel CM8070804497015 Core i5-11400, 2,6 GHz, 12 MB
            ",https://www.emag.ro/procesor-intel-cm8070804497015-core-i5-11400-2-6-ghz-12-mb-9240421/pd/DYBZTSMBM/,813,True,,,Componente PC,https://s13emagst.akamaized.net/products/44559/44558689/images/res_e9448568afe319c4684ea6f81659bdd4.jpg
"
                
    Procesor AMD A6 9500, 3.5 GHz, Socket AM4, 1MB, model AD9500AGM23AB, tray,fara cooler
            ",https://www.emag.ro/procesor-amd-a6-9500-3-5-ghz-socket-am4-1mb-model-tray-fara-cooler-ad9500agm23ab/pd/DMVT16BBM/,229,True,,,Componente PC,https://s13emagst.akamaized.net/products/25628/25627546/images/res_b3e36300a89620191b902393e7c8acf4.jpg
"
                
    Procesor, Intel, Core i5
            ",https://www.emag.ro/procesor-intel-core-i5-203978-dqqkxnmbm/pd/DQQKXNMBM/,583,True,,,Componente PC,https://s13emagst.akamaized.net/products/37337/37336579/images/res_cab73a17681d83032fb627024c77564e.jpg
"
                
    Procesor Intel Coffee Lake Core i3-8100, 3.6GHz, 6MB, 65W, 1151, TRAY
            ",https://www.emag.ro/procesor-intel-coffee-lake-core-i3-8100-3-6ghz-6mb-65w-1151-tray-intel-i3-8100-tray/pd/D5CB1QBBM/,574,True,,,Componente PC,https://s13emagst.akamaized.net/products/22851/22850343/images/res_0b26c22ceae038ed603dbdd109d5ee17.jpg
"
                
    Procesor Intel CM8070104290716 Core i5-10400F, 2,9 GHz, 12 MB
            ",https://www.emag.ro/procesor-intel-cm8070104290716-core-i5-10400f-2-9-ghz-12-mb-6747481/pd/DTBZTSMBM/,646,True,,,Componente PC,https://s13emagst.akamaized.net/products/44050/44049175/images/res_8d85e4f348e4f1dcef42cb8c4eeff578.jpg
"
                
    Procesor, Intel, Core i9-13900KS, LGA 1700, 192 GB
            ",https://www.emag.ro/procesor-intel-core-i9-13900ks-lga-1700-192-gb-190353/pd/DDV9S0YBM/,4.749,True,,,Componente PC,https://s13emagst.akamaized.net/products/67014/67013947/images/res_b6e84d50aeab31467abcfab86446caae.png
"
                
    Procesor AMD A6-9500E, socket AM4, 2 C / 2 T, 3.00 GHz - 3.40 GHz, 1 MB cache, 35 W
            ",https://www.emag.ro/procesor-amd-a6-9500e-socket-am4-2-c-2-t-3-00-ghz-3-40-ghz-1-mb-cache-35-w-ad9500ahm23ab/pd/DLYRTBYBM/,320,True,,,Componente PC,https://s13emagst.akamaized.net/products/57367/57366955/images/res_0a6b307ad5a0976b760b875146025dab.jpg
"
                
    Procesor, Intel, Core i3-12100F 12 MB Smart Cache
            ",https://www.emag.ro/procesor-intel-core-i3-12100f-12-mb-smart-cache-cm8071504651013/pd/DJZQS6MBM/,542,True,,,Componente PC,https://s13emagst.akamaized.net/products/54095/54094427/images/res_d9b458ae3b0e1077cbdf96a1e5f6d155.png
"
                
    Procesor AMD A6 9500E, 3.0GHz, Socket AM4
            ",https://www.emag.ro/procesor-amd-a6-9500e-3-0ghz-socket-am4-ad9500ahabbox/pd/D88H4NBBM/,199,True,,,Componente PC,https://s13emagst.akamaized.net/products/8890/8889180/images/res_ce097c1c8e9443d4391520ee28e32b01.jpg
"
                
    Procesor Intel Core i5-12400, 18 MB, Smart Cache
            ",https://www.emag.ro/procesor-intel-core-i5-12400-18-mb-smart-cache-cm8071504555317/pd/DJ0L46MBM/,964,True,,,Componente PC,https://s13emagst.akamaized.net/products/54136/54135284/images/res_be786c25b0c34927471d97282027e672.png
"
                
    Procesor, Intel Core i5-11600K 3.9 GHz 12 MB Smart Cache (CM8070804491414)
            ",https://www.emag.ro/procesor-intel-core-i5-11600k-3-9-ghz-12-mb-smart-cache-cm8070804491414/pd/D51ZH6MBM/,972,True,,,Componente PC,https://s13emagst.akamaized.net/products/48026/48025770/images/res_f5012e66ac9af286542715296b119563.png
"
                
    Procesor, Action, Metal, Negru
            ",https://www.emag.ro/procesor-action-metal-negru-act-komaaagip1538/pd/DPQGG0YBM/,7.444,True,,,Componente PC,https://s13emagst.akamaized.net/products/65207/65206887/images/res_6be6808fbf7d1d643d2a620eba45ab95.jpg
"
                
    Procesor AMD Ryzen 3 2100G Tray, 3.2 GHz, Socket AM4, Fara Cooler
            ",https://www.emag.ro/procesor-amd-ryzen-3-2100g-tray-3-2-ghz-socket-am4-fara-cooler-yd210bc6m2ofb/pd/DW8KKFMBM/,489,True,,,Componente PC,https://s13emagst.akamaized.net/products/42729/42728879/images/res_b0f364bfc5bbfc5aa4222143d5f35533.jpg
"
                
    Procesor Intel Core i7-12700F 2.1GHz 12-Core LGA1700 25MB Tray
            ",https://www.emag.ro/procesor-intel-core-i7-12700f-2-1ghz-12-core-lga1700-25mb-tray-cm8071504555020/pd/D2V1BLMBM/,1.530,True,,,Componente PC,https://s13emagst.akamaized.net/products/48046/48045757/images/res_b5d7c6c338150eb2e45e2fd19439cc49.jpg
"
                
    Procesor Intel Core i5-13400F, 10C / 16T, 2.50 - 4.60 GHz, 20 MB cache, 65 W, Tray
            ",https://www.emag.ro/procesor-intel-core-i5-13400f-10c-16t-2-50-4-60-ghz-20-mb-cache-65-w-tray-cm8071505093005srmbn/pd/DGXVSPYBM/,1.133,True,,,Componente PC,https://s13emagst.akamaized.net/products/68865/68864731/images/res_1d87f789df6e7df5b6b41ade387e619e.jpg
"
                
    Procesor AMD Ryzen 7 5800X TRAY processor 3.8 GHz 32 MB L3
            ",https://www.emag.ro/procesor-amd-ryzen-7-5800x-tray-processor-3-8-ghz-32-mb-l3-100-000000063/pd/DZSK4JMBM/,2.913,True,,,Componente PC,https://s13emagst.akamaized.net/products/43980/43979753/images/res_b799ec81113bcb7fb8a2191c86bbfa1c.jpg
"
                
    Procesor Intel Core i5-12600K Deca-Core 3.6GHz Socket LGA1700 20MM Cache Tray
            ",https://www.emag.ro/procesor-intel-core-i5-12600k-deca-core-3-6ghz-socket-lga1700-20mm-cache-tray-cm8071504555227/pd/DFRM25MBM/,1.199,True,,,Componente PC,https://s13emagst.akamaized.net/products/50611/50610989/images/res_01ea59a86f74ad77f3f619e5c14152f7.jpg
"
                
    Procesor Intel Core i5-14400F, socket 1700, 10 C / 16 T, 2.50 GHz - 4.70 GHz, 20 MB cache, 65 W BX8071514400FSRN47
            ",https://www.emag.ro/procesor-intel-core-i5-14400f-socket-1700-10-c-16-t-2-50-ghz-4-70-ghz-20-mb-cache-65-w-bx8071514400fsrn47/pd/D1LCGKYBM/,1.370,True,,,Componente PC,https://s13emagst.akamaized.net/products/65531/65530303/images/res_ef1fb6aa231cc362711d47ebda75c0a1.jpg
"
                
    Procesor, Intel, Core i3-10105F, 3.70 GHz, Intel Smart Cache de 6 MB, Soclu LGA1200, Argintiu
            ",https://www.emag.ro/procesor-intel-core-i3-10105f-3-70-ghz-intel-smart-cache-de-6-mb-soclu-lga1200-argintiu-cm8070104291323/pd/DDJCJXMBM/,371,True,,,Componente PC,https://s13emagst.akamaized.net/products/41132/41131302/images/res_a1f3ca3bc952169809ec3b21d40103c4.jpg
